prev_comm,prio,timeslice
cosmic-com:cs0,120,39596
kworker/u96:3,120,9378
surface-eDP-1,120,37001
cosmic-com:cs0,120,44545
kworker/u96:3,120,1403
surface-eDP-1,120,36920
cosmic-com:cs0,120,27613
surface-eDP-1,120,31541
cosmic-com:cs0,120,33885
surface-eDP-1,120,30068
cosmic-com:cs0,120,21462
surface-eDP-1,120,21812
cosmic-com:cs0,120,16903
kworker/u96:3,120,12033
surface-eDP-1,120,67560
kworker/u96:3,120,9688
cosmic-com:cs0,120,19227
kworker/u96:3,120,8286
kworker/u96:3,120,5751
surface-eDP-1,120,61728
kworker/u98:2,120,14528
kworker/u96:3,120,2034
kworker/u96:3,120,4729
kworker/u98:2,120,100913
kworker/u98:2,120,6453
surface-eDP-1,120,36681
cosmic-comp,120,80153
surface-eDP-1,120,9217
surface-HDMI-A-,120,8466
surface-eDP-1,120,229841
cosmic-com:cs0,120,38795
surface-eDP-1,120,19537
kworker/u96:3,120,15900
cosmic-com:cs0,120,26390
kworker/u96:3,120,6052
surface-eDP-1,120,20008
cosmic-com:cs0,120,29356
kworker/u96:3,120,4509
surface-eDP-1,120,29356
cosmic-com:cs0,120,19948
surface-eDP-1,120,17514
kworker/u96:3,120,15179
cosmic-com:cs0,120,19688
kworker/u96:3,120,1423
surface-eDP-1,120,13235
cosmic-com:cs0,120,17924
surface-eDP-1,120,18886
kworker/u96:3,120,13857
cosmic-com:cs0,120,19708
surface-eDP-1,120,12414
cosmic-com:cs0,120,21010
surface-eDP-1,120,12705
cosmic-com:cs0,120,17464
surface-eDP-1,120,15079
cosmic-com:cs0,120,14117
kworker/u96:3,120,15118
surface-eDP-1,120,11792
cosmic-com:cs0,120,14919
surface-eDP-1,120,17744
cosmic-com:cs0,120,17884
surface-eDP-1,120,15059
cosmic-com:cs0,120,28765
surface-eDP-1,120,54344
cosmic-com:cs0,120,18135
surface-eDP-1,120,58302
kworker/u98:2,120,43423
kworker/u96:3,120,13015
kworker/u96:3,120,11261
kworker/u96:3,120,10510
cosmic-panel,120,1633598
cosmic-pan:cs0,120,31531
kworker/u96:3,120,8847
kworker/u96:3,120,2174
kworker/u96:3,120,2124
kworker/u98:2,120,100092
cosmic-panel,120,703477
cosmic-pan:cs0,120,43874
kworker/u96:3,120,15149
cosmic-panel,120,23175
cosmic-p:gdrv0,120,12284
kworker/u96:3,120,1874
cosmic-comp,120,66678
cosmic-panel,120,142333
cosmic-applet-w,120,43854
cosmic-applet-w,120,42371
cosmic-applet-t,120,33434
smithay-clipboa,120,46599
cosmic-applet-t,120,3005
cosmic-applet-t,120,7514
smithay-clipboa,120,75675
smithay-clipboa,120,27743
cosmic-applet-t,120,17704
cosmic-applet-t,120,78070
cosmic-applet-w,120,22734
surface-eDP-1,120,8607
cosmic-applet-w,120,41890
surface-HDMI-A-,120,13235
surface-HDMI-A-,120,9538
surface-eDP-1,120,6362
cosmic-comp,120,173573
surface-HDMI-A-,120,14668
surface-HDMI-A-,120,738644
cosmic-com:cs0,120,46319
kworker/u96:3,120,20279
surface-HDMI-A-,120,34537
cosmic-com:cs0,120,46128
kworker/u96:3,120,17704
surface-HDMI-A-,120,51478
kworker/u96:3,120,3767
cosmic-com:cs0,120,45838
kworker/u96:3,120,12424
surface-HDMI-A-,120,31340
cosmic-com:cs0,120,32102
kworker/u96:3,120,7514
kworker/u96:3,120,2675
surface-HDMI-A-,120,34466
cosmic-com:cs0,120,31741
kworker/u96:3,120,7564
surface-HDMI-A-,120,37853
cosmic-com:cs0,120,27943
kworker/u96:3,120,8216
surface-HDMI-A-,120,28154
cosmic-com:cs0,120,31531
kworker/u96:3,120,10430
surface-HDMI-A-,120,22382
kworker/u96:3,120,2595
cosmic-com:cs0,120,34436
kworker/u96:3,120,9899
surface-HDMI-A-,120,41790
kworker/u96:3,120,1994
cosmic-com:cs0,120,40047
surface-HDMI-A-,120,32061
cosmic-com:cs0,120,32512
surface-HDMI-A-,120,44185
cosmic-com:cs0,120,35508
surface-HDMI-A-,120,40989
cosmic-com:cs0,120,37742
kworker/u96:3,120,11523
kworker/u96:3,120,14428
kworker/u96:3,120,2635
kworker/u96:3,120,2455
surface-HDMI-A-,120,278353
kworker/u98:2,120,5981
surface-HDMI-A-,120,8506
surface-eDP-1,120,11412
cosmic-comp,120,155407
surface-HDMI-A-,120,13686
alacritty,120,41810
surface-eDP-1,120,32652
smithay-clipboa,120,71076
alacritty,120,41039
kworker/u97:0,120,306146
surface-eDP-1,120,183832
cosmic-com:cs0,120,19838
surface-eDP-1,120,14658
kworker/u96:3,120,22793
cosmic-com:cs0,120,21110
kworker/u96:3,120,5130
surface-eDP-1,120,17333
cosmic-com:cs0,120,16171
kworker/u96:3,120,9949
surface-eDP-1,120,19467
cosmic-com:cs0,120,18876
surface-eDP-1,120,17293
kworker/u96:3,120,8867
kworker/u96:3,120,1473
cosmic-com:cs0,120,16181
surface-eDP-1,120,13556
cosmic-com:cs0,120,14989
kworker/u96:3,120,9027
surface-eDP-1,120,23375
kworker/u96:3,120,1373
cosmic-com:cs0,120,23044
surface-eDP-1,120,37201
kworker/u96:3,120,5991
kworker/u96:3,120,1984
cosmic-com:cs0,120,17564
